tag,x,y
none,13.82944,2.219001
none,11.40438,3.839377
none,9.784,6.264441
none,9.215,9.125
none,9.784,11.98556
none,11.40438,14.41062
none,13.82944,16.031
none,16.69,16.6
none,19.55056,16.031
none,21.97562,14.41062
none,23.596,11.98556
none,24.165,9.125
none,23.596,6.264441
none,21.97562,3.839377
none,19.55056,2.219001
none,24.30908,-1.505924
none,26.6448,-5.001586
none,27.465,-9.125
none,26.6448,-13.24841
none,24.30908,-16.74408
none,20.81341,-19.0798
none,16.69,-19.9
none,12.56659,-19.0798
none,9.070925,-16.74408
none,6.735198,-13.24841
none,5.915,-9.125
none,6.735198,-5.001586
none,9.070925,-1.505924
none,9.070925,1.505924
none,6.735198,5.001586
none,5.915,9.125
none,6.735198,13.24841
none,9.070925,16.74408
none,12.56659,19.0798
none,16.69,19.9
none,20.81341,19.0798
none,24.30908,16.74408
none,26.6448,13.24841
none,27.465,9.125
none,26.6448,5.001586
none,24.30908,1.505924
none,19.55056,-2.219001
none,21.97562,-3.839377
none,23.596,-6.264441
none,24.165,-9.125
none,23.596,-11.98556
none,21.97562,-14.41062
none,19.55056,-16.031
none,16.69,-16.6
none,13.82944,-16.031
none,11.40438,-14.41062
none,9.784,-11.98556
none,9.215,-9.125
none,9.784,-6.264441
none,11.40438,-3.839377
none,13.82944,-2.219001
none,16.69,1.5
none,16.69,-1.5
